岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
AI应用工程师（智能制造方向） ,德清申达机器制造有限公司,国企,150-500人,机械/设备/重工,杭州-拱墅区,1.5-2.5万,5年及以上,本科,无要求,算法工程师,五险一金; 年终奖金; 定期体检; 绩效奖金; 员工旅游; 带薪年假; 通讯补贴; 补充医疗保险; 周末双休,项目开发; 质量控制; hadoop; 设备管理; 工艺优化; spark; 机器学习; 数据挖掘; 信息化; 深度学习,1.负责工艺优化与参数调试； 2.负责缺,杭州,20.0千元/月,5.0,5.0年,3,"['五险一金', '年终奖金', '定期体检', '绩效奖金', '员工旅游', '带薪年假', '通讯补贴', '补充医疗保险', '周末双休']","['项目开发', '质量控制', 'hadoop', '设备管理', '工艺优化', 'spark', '机器学习', '数据挖掘', '信息化', '深度学习']"
Gpu服务器运维工程师 ,武汉佰钧成技术有限责任公司,民营,10000人以上,计算机软件,杭州,1.1-1.3万,3年及以上,大专,无要求,运维工程师,五险一金; 定期体检; 节日福利; 带薪年假; 周末双休; 专业培训; 培训,计算机; linux; 测试; 验收; shell; 维护; 电子信息工程; 结构; 压力测试; gpu,职位描述： 负责NVIDIA H系列与B,杭州,12.0千元/月,3.0,3.0年,2,"['五险一金', '定期体检', '节日福利', '带薪年假', '周末双休', '专业培训', '培训']","['计算机', 'linux', '测试', '验收', 'shell', '维护', '电子信息工程', '结构', '压力测试', 'gpu']"
软件销售经理-数字孪生 ,浙江科澜信息技术有限公司,民营,150-500人,计算机软件,杭州-滨江区,1-1.5万,5年及以上,大专,无要求,销售经理,五险一金; 带薪年假; 有餐补; 出差补贴; 专业培训; 绩效奖金,计算机软件; 政府/公共事业; 销售; 销售计划; 市场分析; 市场信息收集; 客户拜访; 应收账款; 客户分析; 公安; 生态链; 安防行业,岗位职责： 1、负责业务开拓与维护工作，,杭州,12.5千元/月,5.0,5.0年,2,"['五险一金', '带薪年假', '有餐补', '出差补贴', '专业培训', '绩效奖金']","['计算机软件', '政府/公共事业', '销售', '销售计划', '市场分析', '市场信息收集', '客户拜访', '应收账款', '客户分析', '公安', '生态链', '安防行业']"
网络工程师 ,杭州凯畅电力技术有限公司,民营,少于50人,电气/电力/水利,杭州-钱塘区,6.5-7.5千,无需经验,大专,无要求,网络工程师,,计算机; 电脑; 网络; tcp; 打印机; ip; 网络故障; 路由交换; 监控网络运行; 电话,【工作内容】 - 外派到国家电网分公司驻,杭州,36.2千元/月,0.0,0.0年,2,[],"['计算机', '电脑', '网络', 'tcp', '打印机', 'ip', '网络故障', '路由交换', '监控网络运行', '电话']"
IT运维主管（9K六险） ,浙江蚂蚁直聘企业管理咨询有限公司,民营,50-150人,人力资源服务,杭州,9千-1.2万,无需经验,本科,无要求,网络工程师,五险一金; 年终奖金; 绩效奖金; 专业培训; 带薪年假; 员工旅游; 节日福利; 周末双休; 弹性工作; 六险; 项目奖金,计算机; 数据库; linux; windows; it; 网络设备; 维护管理; it系统; 处理故障; 优化性能,【工作内容】 - 负责公司内部IT系统的,杭州,10.5千元/月,0.0,0.0年,3,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '带薪年假', '员工旅游', '节日福利', '周末双休', '弹性工作', '六险', '项目奖金']","['计算机', '数据库', 'linux', 'windows', 'it', '网络设备', '维护管理', 'it系统', '处理故障', '优化性能']"
架构工程师 ,东方通信股份有限公司,国企,1000-5000人,通信/电信/网络设备,杭州-滨江区,2.5-3.5万,5年及以上,本科,英语读写熟练,架构师,,微电子; 自动化; 方案设计; 验证方案; 电子信息工程; 通信工程; 技术选型; 测试验证; 系统架构; 嵌入式,岗位职责： 1、负责卫星互联网终端总体方,杭州,30.0千元/月,5.0,5.0年,3,[],"['微电子', '自动化', '方案设计', '验证方案', '电子信息工程', '通信工程', '技术选型', '测试验证', '系统架构', '嵌入式']"
产品经理 ,浙江科澜信息技术有限公司,民营,150-500人,计算机软件,杭州-滨江区,1.2-2万,3年及以上,本科,无要求,产品经理/主管,培训; 五险一金; 带薪年假; 有餐补; 出差补贴; 专业培训; 绩效奖金,互联网B端产品; 计算机; 数据分析; 项目管理; bim; 产品设计; axure; ai; 功能设计; gis; 产品培训,岗位职责 1. 需求转化与产品设计，收集,杭州,16.0千元/月,3.0,3.0年,3,"['培训', '五险一金', '带薪年假', '有餐补', '出差补贴', '专业培训', '绩效奖金']","['互联网B端产品', '计算机', '数据分析', '项目管理', 'bim', '产品设计', 'axure', 'ai', '功能设计', 'gis', '产品培训']"
产品经理 ,前锦网络信息技术（上海）有限公司,已上市,5000-10000人,人力资源服务,杭州-余杭区,1.5-3万,5年及以上,本科,无要求,产品经理/主管,系统培训; 大厂平台; 培训; 能力优先,互联网C端产品; 其他互联网产品; 竞品分析; 界面设计; 路线规划; 风险把控; 功能优化; 产品文档; 迭代优化; 信息架构; 体验升级,此岗为前程无忧代招岗位 岗位职责： 1、,杭州,22.5千元/月,5.0,5.0年,3,"['系统培训', '大厂平台', '培训', '能力优先']","['互联网C端产品', '其他互联网产品', '竞品分析', '界面设计', '路线规划', '风险把控', '功能优化', '产品文档', '迭代优化', '信息架构', '体验升级']"
云服务器开发(J10229) ,滨江兄弟信息技术（杭州）有限公司,外资（非欧美）,150-500人,计算机软件,杭州-滨江区,9千-1.2万·14薪,1年及以上,本科,英语读写熟练 日语听说读写流利,软件工程师,周末双休; 加班费; 全额公积金; 补充医疗保险; 高温补贴; 管理规范; 年终奖金; 出国机会; 员工旅游; 定期体检; 五险一金; 带薪年假; 专业培训; 出差补贴; 定期团建,云计算经验; Python; node.js; ruby; 日语,工作职责: 1）AWS云服务器API开发,杭州,10.5千元/月,1.0,1.0年,3,"['周末双休', '加班费', '全额公积金', '补充医疗保险', '高温补贴', '管理规范', '年终奖金', '出国机会', '员工旅游', '定期体检', '五险一金', '带薪年假', '专业培训', '出差补贴', '定期团建']","['云计算经验', 'Python', 'node.js', 'ruby', '日语']"
咨询顾问 ,安脉时代智能制造（宁德）有限公司,民营,50-150人,新能源,杭州-滨江区,1.8-2.8万·15薪,5年及以上,本科,无要求,专业顾问,五险一金; 年终奖金; 定期体检; 员工旅游; 带薪年假; 周末双休,机械/设备/重工; 咨询; 计算机; 谈判; 项目实施; 客户沟通; 方案设计; 系统测试; mes; wms; 机械工程; 工业工程,岗位职责： 1、独立负责中小型以上项目的,杭州,23.0千元/月,5.0,5.0年,3,"['五险一金', '年终奖金', '定期体检', '员工旅游', '带薪年假', '周末双休']","['机械/设备/重工', '咨询', '计算机', '谈判', '项目实施', '客户沟通', '方案设计', '系统测试', 'mes', 'wms', '机械工程', '工业工程']"
科技合作部-科研经费管理岗 (MJ000301) ,西湖大学,事业单位,1000-5000人,院校,杭州-西湖区,1-2万·13薪,3年及以上,硕士,无要求,科研管理人员,五险一金; 补充医疗保险; 定期体检; 节日福利; 带薪年假; 培训,预算编制; 预算执行; 高校科研院所; 科研经费; 财务管理,岗位职责:67 1. 负责科研项目经费全,杭州,15.0千元/月,3.0,3.0年,4,"['五险一金', '补充医疗保险', '定期体检', '节日福利', '带薪年假', '培训']","['预算编制', '预算执行', '高校科研院所', '科研经费', '财务管理']"
高级软件销售专员 ,精诚（中国）企业管理有限公司,外资（非欧美）,500-1000人,计算机软件,杭州-西湖区,8千-1.2万,3年及以上,本科,无要求,客户代表,自有办公室; 全额五险一金; 有薪事假; 通讯补贴; 年终奖金; 员工旅游; 专业培训; 定期体检; 周末双休; 节日福利,计算机软件; 网络/信息安全; 计算机服务; 微软; 软件解决方案; VMware; 计算机软件; 软件销售,工作内容： 1.负责企业客户的软件销售与,杭州,10.0千元/月,3.0,3.0年,3,"['自有办公室', '全额五险一金', '有薪事假', '通讯补贴', '年终奖金', '员工旅游', '专业培训', '定期体检', '周末双休', '节日福利']","['计算机软件', '网络/信息安全', '计算机服务', '微软', '软件解决方案', 'VMware', '计算机软件', '软件销售']"
档案管理员 ,贵州徐婉教育咨询有限公司,民营,50-150人,培训机构,杭州-钱塘区,5-8千,无需经验,大专,无要求,文员,五险一金; 年终奖金; 绩效奖金; 做五休二; 双休; 周末双休,计算机; 安全管理; 档案管理; 教育培训行业; 防盗; 内部审计; 文档整理; 分类归档; 销毁; 环境安全,【工作内容】 1、负责培训机构各类学员档,杭州,29.0千元/月,0.0,0.0年,2,"['五险一金', '年终奖金', '绩效奖金', '做五休二', '双休', '周末双休']","['计算机', '安全管理', '档案管理', '教育培训行业', '防盗', '内部审计', '文档整理', '分类归档', '销毁', '环境安全']"
JAVA开发工程师(懂硬件) ,浙江联运盒子物流科技有限公司,民营,50-150人,货运/物流/仓储,杭州-上城区,1.2-1.8万·13薪,3-5年,本科,英语,java,五险一金; 员工旅游; 通讯补贴; 绩效奖金; 年终奖金; 带薪年假; 带薪病假; 专业培训; 出国机会,Java; C; MySQL; Oracle; 计算机; java; css; sql; erp; 开发; 运维; 软件工程; h5; web开发,岗位职责 1、深入了解集装箱租赁、贸易等,杭州,15.0千元/月,4.0,4.0年,3,"['五险一金', '员工旅游', '通讯补贴', '绩效奖金', '年终奖金', '带薪年假', '带薪病假', '专业培训', '出国机会']","['Java', 'C', 'MySQL', 'Oracle', '计算机', 'java', 'css', 'sql', 'erp', '开发', '运维', '软件工程', 'h5', 'web开发']"
大数据开发岗-国资银行直签 ,前锦网络信息技术（上海）有限公司,已上市,5000-10000人,人力资源服务,杭州,2-3.5万,2年及以上,硕士,无要求,数据开发,500强; 五险一金; 补充医疗保险; 交通补贴; 餐饮补贴; 年终奖金; 带薪年假; 带薪病假; 定期体检; 通讯补贴,数据分析; 资产管理; kafka; 大数据; zookeeper; hadoop; hive; spark; 金融工程; hbase,1、硕士以上学历，2年以上工作经验，拥有,杭州,27.5千元/月,2.0,2.0年,4,"['500强', '五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '年终奖金', '带薪年假', '带薪病假', '定期体检', '通讯补贴']","['数据分析', '资产管理', 'kafka', '大数据', 'zookeeper', 'hadoop', 'hive', 'spark', '金融工程', 'hbase']"
履约项目经理 ,浙江中水数建科技有限公司,国企,少于50人,计算机服务,杭州-西湖区,1-2万,3年及以上,本科,无要求,项目经理,,软硬件开发; 通信; 计算机硬件; 计算机软件; 计算机服务; 云计算/大数据,工作地点：四川高原驻场 岗位职责： 1.,杭州,15.0千元/月,3.0,3.0年,3,[],"['软硬件开发', '通信', '计算机硬件', '计算机软件', '计算机服务', '云计算/大数据']"
内网系统维护 ,浙江蚂蚁直聘企业管理咨询有限公司,民营,50-150人,人力资源服务,杭州,9千-1.1万,无需经验,本科,无要求,IT技术支持,五险一金; 带薪年假; 带薪病假; 员工旅游; 年终奖金; 绩效奖金; 项目奖金; 专业培训; 包吃; 包住,计算机; 调试; 维护; 操作系统; 系统部署; 网络系统; 系统安全; 技术支持; 网络架构; 运行效率,【工作内容】 - 负责公司内部网络系统的,杭州,10.0千元/月,0.0,0.0年,3,"['五险一金', '带薪年假', '带薪病假', '员工旅游', '年终奖金', '绩效奖金', '项目奖金', '专业培训', '包吃', '包住']","['计算机', '调试', '维护', '操作系统', '系统部署', '网络系统', '系统安全', '技术支持', '网络架构', '运行效率']"
初级数据分析师 ,上海维路泰克斯实业有限公司,民营,少于50人,其他专业服务,杭州-滨江区,7千-1万,2年及以上,本科,无要求,数据分析师,五险一金; 定期体检; 周末双休; 节日福利,数据分析; 运营; excel; ai; 优化方案; 优化; 数据透视表; 合同续签; 试用期管理; 人事异动,岗位职责 1.负责HRSSC在职业务的办,杭州,8.5千元/月,2.0,2.0年,3,"['五险一金', '定期体检', '周末双休', '节日福利']","['数据分析', '运营', 'excel', 'ai', '优化方案', '优化', '数据透视表', '合同续签', '试用期管理', '人事异动']"
研发运营经理 (MJ000134) ,杭州飞仕得科技股份有限公司,民营,150-500人,电子技术/半导体/集成电路,杭州-上城区,1.8-2万·14薪,8年及以上,本科,无要求,运营经理,团建; 培训,管理; 电子; 运营; 财务; 项目管理; erp; 预算; 成本控制; 团队管理; 人事,岗位职责： 1、负责搭建并持续优化研发中,杭州,19.0千元/月,8.0,8.0年,3,"['团建', '培训']","['管理', '电子', '运营', '财务', '项目管理', 'erp', '预算', '成本控制', '团队管理', '人事']"
大客户经理（车载灭火系统） ,联源（杭州）工程技术有限公司,民营,少于50人,机械/设备/重工,杭州-上城区,8千-1.2万,3年及以上,本科,英语听说读写流利,大客户销售,五险一金; 带薪年假; 员工旅游; 项目奖金; 专业培训; 定期体检; 出差补贴; 定期团建,英语能力; 商业谈判; 较多出差; 行业知识; 营销经验; 机械/设备/重工; 贸易/进出口; 新能源,注：本岗位工作地点base在余杭区紫创未,杭州,10.0千元/月,3.0,3.0年,3,"['五险一金', '带薪年假', '员工旅游', '项目奖金', '专业培训', '定期体检', '出差补贴', '定期团建']","['英语能力', '商业谈判', '较多出差', '行业知识', '营销经验', '机械/设备/重工', '贸易/进出口', '新能源']"
网络系统运维管理 ,浙江蚂蚁直聘企业管理咨询有限公司,民营,50-150人,人力资源服务,杭州,9千-1.1万,无需经验,本科,无要求,运维工程师,五险一金; 年终奖金; 绩效奖金; 专业培训; 带薪年假; 节日福利; 弹性工作; 带薪病假; 项目奖金,计算机; 维护; 防火墙; 网络设备; 网络系统; 路由交换; 维护网络; 处理网络故障; 网络架构,【工作内容】 - 负责公司内部网络系统的,杭州,10.0千元/月,0.0,0.0年,3,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '带薪年假', '节日福利', '弹性工作', '带薪病假', '项目奖金']","['计算机', '维护', '防火墙', '网络设备', '网络系统', '路由交换', '维护网络', '处理网络故障', '网络架构']"
IT技术支持 ,成都众鑫达人力资源有限公司,民营,150-500人,人工智能,杭州-拱墅区,1.4-1.5万·13薪,无需经验,大专,无要求,IT技术支持,技能培训; 弹性工作; 员工培训; 提供住宿; 五险一金; 系统培训; 双休; 五险; 带薪培训; 培训; 导师制; 节假日; 晋升; 住宿补贴; 入职培训,C; 计算机; 办公软件; linux; 调试; windows; 维护; 操作系统; 通信工程; 安装部署; 监控系统,【工作内容】 1、负责企业内部电脑硬件、,杭州,14.5千元/月,0.0,0.0年,2,"['技能培训', '弹性工作', '员工培训', '提供住宿', '五险一金', '系统培训', '双休', '五险', '带薪培训', '培训', '导师制', '节假日', '晋升', '住宿补贴', '入职培训']","['C', '计算机', '办公软件', 'linux', '调试', 'windows', '维护', '操作系统', '通信工程', '安装部署', '监控系统']"
SRM全栈开发工程师 ,杭州芯云半导体集团有限公司,民营,1000-5000人,电子/半导体/集成电路,杭州-富阳区,1.5-1.7万·13薪,3年及以上,本科,无要求,全栈工程师,五险一金; 餐饮补贴; 绩效奖金; 年终奖金; 专业培训; 定期体检,java; mysql; oracle; linux; springboot; mybatis; 财务; sql; erp; vue,岗位职责： 1、负责SRM系统整体开发与,杭州,16.0千元/月,3.0,3.0年,3,"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '专业培训', '定期体检']","['java', 'mysql', 'oracle', 'linux', 'springboot', 'mybatis', '财务', 'sql', 'erp', 'vue']"
高级后端研发工程师 ,浙江中国轻纺城网络有限公司,国企,150-500人,互联网/电子商务,杭州-上城区,2-3.5万,5年及以上,本科,无要求,软件工程师,,java; 自动化; 软件工程; ai; 后端开发; 电子信息工程; 通信工程; 高并发; 网络工程; go,1.专业要求：计算机科学与技术、软件工程,杭州,27.5千元/月,5.0,5.0年,3,[],"['java', '自动化', '软件工程', 'ai', '后端开发', '电子信息工程', '通信工程', '高并发', '网络工程', 'go']"
产品部经理 ,正元智慧集团股份有限公司,民营,1000-5000人,计算机软件,杭州-余杭区,3-4万,8年及以上,本科,无要求,产品经理/主管,五险一金; 免费班车; 交通补贴; 餐饮补贴; 通讯补贴; 专业培训; 年终奖金; 定期体检; 团队建设,计算机; 管理; 数据分析; 需求分析; 团队管理; 市场调研; 团队建设; 软件工程; 日常管理; 绩效管理,岗位职责： 1.根据公司的整体战略与业务,杭州,35.0千元/月,8.0,8.0年,3,"['五险一金', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检', '团队建设']","['计算机', '管理', '数据分析', '需求分析', '团队管理', '市场调研', '团队建设', '软件工程', '日常管理', '绩效管理']"
招标管理岗 (MJ000280) ,西湖大学,事业单位,1000-5000人,院校,杭州-西湖区,1-2万·13薪,5年及以上,硕士,英语听说读写流利,招投标管理,,采购; 招投标; 采购评审,岗位职责: 1.负责学校采购与招标规章制,杭州,15.0千元/月,5.0,5.0年,4,[],"['采购', '招投标', '采购评审']"
项目管理师 ,浙江华正新材料股份有限公司,已上市,1000-5000人,原材料和加工,杭州-余杭区,1.2-1.8万,3-5年,本科,无要求,项目主管,管理规范; 管理培训,电子/半导体/集成电路,一、岗位职责 1. 研究院项目管理流程优,杭州,15.0千元/月,4.0,4.0年,3,"['管理规范', '管理培训']",['电子/半导体/集成电路']
实施工程师 ,杭州数网科技有限公司,民营,50-150人,计算机软件,杭州-滨江区,5-8千,1年,大专,无要求,IT技术支持,绩效奖金; 餐饮补贴; 交通补贴; 专业培训; 弹性工作; 年终奖金; 通讯补贴; 五险一金; 员工旅游,工程师; 软件; 系统运维; 数据库; windows,岗位职责： 1、负责与客户进行技术交流和,杭州,29.0千元/月,1.0,1.0年,2,"['绩效奖金', '餐饮补贴', '交通补贴', '专业培训', '弹性工作', '年终奖金', '通讯补贴', '五险一金', '员工旅游']","['工程师', '软件', '系统运维', '数据库', 'windows']"
技术支持工程师 ,上海灵澈电子科技有限公司,民营,少于50人,计算机服务(系统、数据服务、维修),杭州-滨江区,3-4.5千,1年,高中,英语良好,硬件工程师; IT技术支持,五险一金; 年终奖金,Helpdesk; 维护工程师,要求：  1.计算机相关专业专科以上毕业,杭州,17.2千元/月,1.0,1.0年,1,"['五险一金', '年终奖金']","['Helpdesk', '维护工程师']"
临电管理岗 ,前锦网络信息技术（上海）有限公司,已上市,5000-10000人,人力资源服务,杭州-滨江区,7-8.5千,3年及以上,大专,无要求,消防安全,单休; 加班费; 提供食宿; 食宿; 培训; 五险一金; 补充医疗保险; 带薪年假; 带薪病假; 定期体检; 通讯补贴,较多出差; 消防安全管理/培训; 临电管理; 临电系统,岗位职责： 1.专职负责项目施工现场临时,杭州,39.2千元/月,3.0,3.0年,2,"['单休', '加班费', '提供食宿', '食宿', '培训', '五险一金', '补充医疗保险', '带薪年假', '带薪病假', '定期体检', '通讯补贴']","['较多出差', '消防安全管理/培训', '临电管理', '临电系统']"
资深售前顾问 ,杭州和利时自动化有限公司,合资,1000-5000人,仪器仪表/工业自动化,杭州,9千-1.2万,3年及以上,本科,无要求,专业顾问,五险一金; 节日福利; 交通补助; 绩效奖金; 餐补; 医疗保险; 通讯补助; 培训; 补充医疗保险; 带薪年假; 带薪病假; 年终奖金; 项目奖金; 专业培训; 定期体检,仪器仪表/工业自动化; 化工; 计算机; 医药; erp; 成本控制; 食品; 化工; 售前; mes; 信息管理; wms,"岗位职责： 1、售前与客户交流, 协助销",杭州,10.5千元/月,3.0,3.0年,3,"['五险一金', '节日福利', '交通补助', '绩效奖金', '餐补', '医疗保险', '通讯补助', '培训', '补充医疗保险', '带薪年假', '带薪病假', '年终奖金', '项目奖金', '专业培训', '定期体检']","['仪器仪表/工业自动化', '化工', '计算机', '医药', 'erp', '成本控制', '食品', '化工', '售前', 'mes', '信息管理', 'wms']"
高级AI大模型应用工程师 ,浙江省公众信息产业有限公司杭州市分公司,国企,少于50人,计算机软件,杭州-上城区,2.6-4万,5年及以上,本科,无要求,算法工程师,薪酬面议,计算机; java; 数据分析; 需求分析; ai; 数据交互; 应用开发; 视觉; api接口; 技术预研,岗位职责： 1、负责AI大模型在实际业务,杭州,33.0千元/月,5.0,5.0年,3,['薪酬面议'],"['计算机', 'java', '数据分析', '需求分析', 'ai', '数据交互', '应用开发', '视觉', 'api接口', '技术预研']"
商户入网录入岗 ,银联商务支付股份有限公司浙江分公司,国企,10000人以上,金融/投资/证券,杭州-萧山区,6-8万/年,无需经验,本科,无要求,运营专员,周末双休; 定期体检; 培训; 午餐补贴; 意外保险,数据运营; 用户运营,岗位职责： 1、根据公司的要求和标准，负,杭州,5.8千元/月,0.0,0.0年,3,"['周末双休', '定期体检', '培训', '午餐补贴', '意外保险']","['数据运营', '用户运营']"
杭州拱墅区机房值班员(J11031) ,深圳市锐科信息技术有限公司,民营,1000-5000人,计算机服务,杭州-拱墅区,6-8千,1年及以上,,无要求,运维工程师,五险一金; 专业培训; 培训; 过节福利,培训; 运维; 数据收集; 电气工程; 电力; 消防工程; 变压器; 电气设备; ups; 暖通空调,工作职责: 故障诊断与初步处理：参与配电,杭州,34.0千元/月,1.0,1.0年,0,"['五险一金', '专业培训', '培训', '过节福利']","['培训', '运维', '数据收集', '电气工程', '电力', '消防工程', '变压器', '电气设备', 'ups', '暖通空调']"
项目管理工程师 ,杭州长川科技股份有限公司,已上市,1000-5000人,电子/半导体/集成电路,杭州-滨江区,1.5-2.5万·14薪,3年及以上,本科,无要求,机械项目管理,,办公软件; 电子; 项目管理; 芯片测试; 硬件设计; 立项; 流程优化; plm; 进度跟踪; ipd,1、负责芯片测试项目的客户需求对接、客户,杭州,20.0千元/月,3.0,3.0年,3,[],"['办公软件', '电子', '项目管理', '芯片测试', '硬件设计', '立项', '流程优化', 'plm', '进度跟踪', 'ipd']"
中级AI大模型应用工程师 ,浙江省公众信息产业有限公司杭州市分公司,国企,少于50人,计算机软件,杭州-上城区,1.3-2.6万·15薪,3年及以上,本科,无要求,算法工程师,薪酬面议,计算机; java; 数据分析; 需求分析; ai; 数据交互; 应用开发; 视觉; api接口; 技术预研,岗位职责： 1、负责AI大模型在实际业务,杭州,19.5千元/月,3.0,3.0年,3,['薪酬面议'],"['计算机', 'java', '数据分析', '需求分析', 'ai', '数据交互', '应用开发', '视觉', 'api接口', '技术预研']"
ERP实施顾问双休8k ,浙江蚂蚁直聘企业管理咨询有限公司,民营,50-150人,人力资源服务,杭州,8.5-9.5千,无需经验,本科,无要求,ERP实施顾问,双休; 系统培训; 五险一金; 带薪年假; 带薪病假; 员工旅游; 年终奖金; 绩效奖金; 项目奖金; 专业培训; 包吃; 包住,计算机; erp; 文档编写; 信息管理; 系统培训; erp系统,【工作内容】 - 负责企业ERP系统的部,杭州,47.2千元/月,0.0,0.0年,3,"['双休', '系统培训', '五险一金', '带薪年假', '带薪病假', '员工旅游', '年终奖金', '绩效奖金', '项目奖金', '专业培训', '包吃', '包住']","['计算机', 'erp', '文档编写', '信息管理', '系统培训', 'erp系统']"
测试工程师 ,杭州塔石物联网科技有限公司,民营,50-150人,通信/网络设备,杭州-萧山区,1-1.5万,3年及以上,本科,无要求,测试工程师,五险一金; 带薪年假; 餐饮补贴; 定期团建,计算机; 测试; 测试用例; erp; 接口测试; postman; ai; crm; 测试流程; 缺陷管理,1、学历专业：计算机、软件工程、电子信息,杭州,12.5千元/月,3.0,3.0年,3,"['五险一金', '带薪年假', '餐饮补贴', '定期团建']","['计算机', '测试', '测试用例', 'erp', '接口测试', 'postman', 'ai', 'crm', '测试流程', '缺陷管理']"
统计员 ,猎贤（杭州）信息技术有限公司,民营,少于50人,计算机服务,杭州-拱墅区,6-9千,1年及以上,大专,无要求,统计员,五险一金; 专业培训; 节日福利; 带薪年假; 员工旅游; 周末双休; 全勤奖,计算机; 办公软件; 数据分析; excel; 财务; sql; 数学; 数据统计; 工商管理; 分析报告,岗位职责 1. 基于统计数据，开展基础分,杭州,34.5千元/月,1.0,1.0年,2,"['五险一金', '专业培训', '节日福利', '带薪年假', '员工旅游', '周末双休', '全勤奖']","['计算机', '办公软件', '数据分析', 'excel', '财务', 'sql', '数学', '数据统计', '工商管理', '分析报告']"
知识库运营 ,浙江春风动力股份有限公司,已上市,1000-5000人,汽车研发/制造,杭州-临平区,1-1.5万·14薪,5年及以上,本科,无要求,客服经理,新能源,正常工作制; 不含销售的客服工作,一、岗位职责 1. 负责电动车行业专属知,杭州,12.5千元/月,5.0,5.0年,3,['新能源'],"['正常工作制', '不含销售的客服工作']"
系统运维 ,成都众鑫达人力资源有限公司,民营,150-500人,人工智能,杭州-拱墅区,1.3-1.4万·13薪,无需经验,大专,无要求,运维工程师,弹性工作; 节假日; 培训; 员工旅游; 绩效奖金; 年终奖金; 零食下午茶; 包吃; 五险,计算机; mysql; 数据库; linux; redis; 网络; 运维; shell; 文档编写; docker,【工作内容】 1、负责服务器、数据库及中,杭州,13.5千元/月,0.0,0.0年,2,"['弹性工作', '节假日', '培训', '员工旅游', '绩效奖金', '年终奖金', '零食下午茶', '包吃', '五险']","['计算机', 'mysql', '数据库', 'linux', 'redis', '网络', '运维', 'shell', '文档编写', 'docker']"
产品经理 ,中国民航信息网络股份有限公司,国企,10000人以上,计算机软件,杭州-拱墅区,11-12万/年,无需经验,硕士,无要求,产品经理/主管,带薪年假; 补充医疗保险; 免费班车; 培训; 团队氛围,方案设计; 产品设计; 产品推广; 竞品分析; 产品规划; 客户培训; 客户关系管理; 售前咨询; 需求对接; 产品验收,岗位职责: 1.负责发现目标市场和用户需,杭州,9.6千元/月,0.0,0.0年,4,"['带薪年假', '补充医疗保险', '免费班车', '培训', '团队氛围']","['方案设计', '产品设计', '产品推广', '竞品分析', '产品规划', '客户培训', '客户关系管理', '售前咨询', '需求对接', '产品验收']"
财险浙江-人力资源部/党委组织部-干部管理岗(J53378) ,太平财产保险有限公司浙江分公司,国企,1000-5000人,保险,杭州-上城区,6-8千,1年及以上,本科,无要求,人事专员,年终奖金; 专业培训; 绩效奖金; 定期体检; 带薪年假; 节假日福利; 培训; 六险二金,五险一金; 补充医疗保险; 干部管理,工作职责: 负责按照总公司要求制定并持续,杭州,34.0千元/月,1.0,1.0年,3,"['年终奖金', '专业培训', '绩效奖金', '定期体检', '带薪年假', '节假日福利', '培训', '六险二金']","['五险一金', '补充医疗保险', '干部管理']"
Java高级开发工程师 ,深圳宏景动力信息技术有限公司,民营,50-150人,计算机软件,杭州-拱墅区,1.3-2万,5年及以上,本科,无要求,java,五险一金; 节日福利,金蝶,岗位职责： 1、根据产品规划与需求文档，,杭州,16.5千元/月,5.0,5.0年,3,"['五险一金', '节日福利']",['金蝶']
MES开发工程师 ,杭州长川科技股份有限公司,已上市,1000-5000人,电子/半导体/集成电路,杭州-滨江区,1.7-2.2万·14薪,5年及以上,本科,无要求,.NET,五险一金; 补充医疗保险; 年终奖金; 股票期权; 定期体检; 工作餐/餐补; 出差补贴; 带薪休假; 年度调薪,.NET开发经验; MES开发,* 工作职责 */ 1、编写后端代码（.,杭州,19.5千元/月,5.0,5.0年,3,"['五险一金', '补充医疗保险', '年终奖金', '股票期权', '定期体检', '工作餐/餐补', '出差补贴', '带薪休假', '年度调薪']","['.NET开发经验', 'MES开发']"
IT实习生 ,,,,,杭州-钱塘区,160元/天,无需经验,本科,无要求,网络工程师,免费班车; 餐饮补贴; 通讯补贴; 交通补贴; 加班补贴; 周末双休; 节日福利; 补充医疗保险; 五险一金; 免费住宿; 带薪年假; 年终奖金; 定期体检,调试; 电脑; 组装; 服务器; 维护; 设备维护; 打印机; 监控; 设备采购; 设备组装,岗位职责： 1. 负责公司电脑、服务器、,杭州,,0.0,0.0年,3,"['免费班车', '餐饮补贴', '通讯补贴', '交通补贴', '加班补贴', '周末双休', '节日福利', '补充医疗保险', '五险一金', '免费住宿', '带薪年假', '年终奖金', '定期体检']","['调试', '电脑', '组装', '服务器', '维护', '设备维护', '打印机', '监控', '设备采购', '设备组装']"
